id_question,category,question,annotated_answer
PD_f2,Privacy by Design and Innovation,"Are there privacy-enhancing technologies implemented, such as differential privacy?",Not mentioned explicitly in policy. Reference :N/A
PD_f3,Privacy by Design and Innovation,"Does the company use automated decision-making or profiling, and if so, how does it impact user privacy?",Not mentioned explicitly in policy. Reference :N/A
PD_u1,Privacy by Design and Innovation,What sort of analytics will my data be subjected to?,"Twitter will be subjected to analytics for the following purposes:

Safety and Security: The information collected is used to ensure the safety and security of users, products, services, and your account. This includes verifying your identity, authenticating your account, and defending against fraud, unauthorized use, and illegal activities.

Content Quality and Policy Enforcement: Analytics are utilized to evaluate and influence the safety and quality of content on Twitter. This involves investigating and enforcing Twitter’s policies and terms, as well as complying with applicable laws.

Service Improvement: The information is also used to measure, analyze, and enhance the overall functionality and user experience of Twitter’s services.  (Part 2)"
RC_f1,Responsiveness and Communication,Is the privacy policy regularly updated and communicated to users?,"Yes, Twitter's privacy policy is regularly updated and communicated to users. According to the policy, Twitter reserves the right to revise the policy as needed, and when changes occur, Twitter ensures to provide notice to the users and offers an opportunity to review the revised policy before users continue to use the service.   (Part 3)"
RC_f2,Responsiveness and Communication,Is there a process in place to address user privacy complaints?,"Yes, Twitter has a process in place to address user privacy complaints. Users can contact Twitter via their Privacy Policy Inquiries page, write to them at an appropriate address, or confidentially contact Twitter's Data Protection Officer through their Data Protection Inquiry Form. If the user wishes to raise a concern about Twitter's data processing practices, they have the right to do so with their local supervisory authority or Twitter International Unlimited Company's lead supervisory authority, the Irish Data Protection Commission.  (Part 3)"
RC_f3,Responsiveness and Communication,"Does the company publish transparency reports detailing government data requests, surveillance, or law enforcement interactions?",Not mentioned explicitly in policy. Reference :N/A
RC_u1,Responsiveness and Communication,Has there ever been a security breach?,Not mentioned explicitly in policy. Reference :N/A
AEE_f1,"Accessibility, User Education and Empowerment",Are employees trained on data privacy best practices and handling sensitive information?,Not mentioned explicitly in policy. Reference :N/A
AEE_f2,"Accessibility, User Education and Empowerment",How are user data privacy preferences managed across different devices or platforms?,Not mentioned explicitly in policy. Reference :N/A
AEE_f3,"Accessibility, User Education and Empowerment","Does the company offer user-friendly resources, such as tutorials or guides, to help users effectively manage their privacy settings and understand their data rights?",Not mentioned explicitly in policy. Reference :N/A
AEE_u1,"Accessibility, User Education and Empowerment",Does it share any data with a third party?,"Yes twitter shares data with third  parties . We also use data centers and cloud providers and engage our affiliates and third-party partners and service providers located in many parts of the world to help us provide our services. Before we move data between countries we look at the risks that may be presented to the data and rely on things like standard contractual clauses, where applicable, to ensure your data rights are protected. If data will be shared with a third party, we require them to maintain the same protections over your data that we provide directly. Part 3"
CA_f1,Compliance and Accountability,Does the policy comply with applicable privacy laws and regulations?,"Twitter takes measures such as evaluating risks and using standard contractual clauses to protect data rights when moving data between countries and when sharing data with third parties. This could imply that they are making efforts to comply with privacy laws and regulations, but it doesn't directly state that they are in full compliance with all applicable privacy laws and regulations. (P3)"
CA_f2,Compliance and Accountability,What steps are taken to ensure data processors and subprocessors adhere to privacy requirements?,"Twitter takes steps to ensure data processors and subprocessors adhere to privacy requirements by examining the risks presented to the data before it is moved between countries. They rely on measures such as standard contractual clauses to guarantee the protection of data rights. Furthermore, if data is to be shared with a third party, Twitter mandates these entities to uphold the same protections over user data as Twitter itself does.  (Part 3)"
CA_f3,Compliance and Accountability,"Does the company have a process in place for reporting and addressing privacy violations or non-compliance issues, both internally and with third-party vendors?",Not mentioned explicitly in policy. Reference :N/A
CA_u1,Compliance and Accountability,Do I have any rights as far as whether I want my account info deleted?,"Yes twitter allows for data deletion by saying You can access it, delete it, or change your settings. Basically, you are the boss.  (Part 3)"
