id_question,category,question,annotated_answer
DM_f3,Data Minimization and Purpose Limitation,Are there any restrictions on data processing for specific purposes or contexts?,"Yes, there are restrictions on data processing for specific purposes or contexts. Users can choose to provide information about their religious views, political views, who they're 'interested in', or their health, among others. This type of data, which could also include racial or ethnic origin, philosophical beliefs, or trade union membership, may be subject to special protections under the laws of the user's country. (Part 2)"
DM_u1,Data Minimization and Purpose Limitation,How long is my data stored?,"Data is stored either until it is no longer necessary for providing services and Meta Products or until your account is deleted, whichever comes first. This indicates that data retention is dependent on the need for service provision or user account status. The duration for which data is kept is determined on a case-by-case basis, considering factors like the nature of the data, its collection and processing purposes, and any relevant legal or operational retention needs. This approach implies that data retention periods vary, tailored to specific circumstances and requirements. Reference: Part 3"
SE_f1,Security and Encryption,Are user communications encrypted end-to-end?,Not mentioned explicitly in policy. Reference :N/A
SE_f2,Security and Encryption,What measures are in place to prevent unauthorized access to user data?,"To prevent unauthorized access to user data, Facebook has put in place several measures:

Strict Restrictions for Partners: There are stringent restrictions on how partners can use and disclose the data provided to them. This ensures that data handling by third-party partners adheres to the company's privacy standards and policies, thereby reducing the risk of unauthorized data access or misuse.

Shared Infrastructure and Systems: The sharing of infrastructure, systems, and technology among Meta Companies aims to provide a secure experience. This indicates that there are implicit measures in place across these platforms to guard against unauthorized access.

Proactive Measures for Safety and Compliance: The company takes action when it believes it is necessary to prevent unauthorized use of its Products, violations of terms or policies, or other harmful or illegal activities. This suggests that proactive steps are taken to detect and prevent unauthorized access and other adverse actions, enhancing the overall security and integrity of the user data. (Part 3)"
SE_f3,Security and Encryption,How are data breaches or security incidents handled and communicated to users?,Not mentioned explicitly in policy. Reference :N/A
SE_u1,Security and Encryption,How well secured is my private information?,Not mentioned explicitly in policy. Reference :N/A
PD_f1,Privacy by Design and Innovation,Does the company conduct privacy impact assessments?,Not mentioned explicitly in policy. Reference :N/A
PD_f2,Privacy by Design and Innovation,"Are there privacy-enhancing technologies implemented, such as differential privacy?",Not mentioned explicitly in policy. Reference :N/A
PD_f3,Privacy by Design and Innovation,"Does the company use automated decision-making or profiling, and if so, how does it impact user privacy?",Not mentioned explicitly in policy. Reference :N/A
PD_u1,Privacy by Design and Innovation,What sort of analytics will my data be subjected to?,"Your data on Meta Products (including Facebook) will be subjected to various types of analytics, such as:

Engagement Analytics: Analyzing your interactions with posts, listings, Facebook Pages, videos, and other content to provide aggregated statistics and insights. This assists businesses and content creators in understanding user engagement.

Demographic and Interest Analysis: Using general demographic and interest information to help advertisers understand their audience. This may include age, gender, location, and interests, but excludes personally identifiable information unless explicitly permitted by you.

Ad Performance Metrics: Providing advertisers with reports on ad performance, including audience demographics, ad visibility, engagement, and effectiveness.

Cross-Platform Analysis: Processing data across various Meta platforms, like WhatsApp, Facebook, Instagram, and Oculus, to understand user behavior and interactions.

Spam and Abuse Detection: Analyzing information, especially from platforms like WhatsApp, to detect and address spam or abusive accounts across all Meta platforms.

Transactional Analytics: Utilizing data from purchases or subscriptions through Meta’s Products for transaction completion, potentially shared with content creators or sellers.

Service Usage Trends: Analyzing how products are used to understand user preferences, identify service usage patterns, and detect areas needing improvement.

Customer Service Analysis: Using data to provide customer service, including analyzing user inquiries, feedback, and service-related issues.

Research and Academic Analysis: Sharing information with research partners and academics for research in social welfare, technological advancement, public interest, health, and well-being. (Part 3)"
RC_f1,Responsiveness and Communication,Is the privacy policy regularly updated and communicated to users?,"Yes, the privacy policy is regularly updated and communicated to users. The company will notify users before making changes to the policy and give them the opportunity to review the revised policy before they continue using the products. (Part 3)"
RC_f2,Responsiveness and Communication,Is there a process in place to address user privacy complaints?,"Yes, there is a process in place to address user privacy complaints. Users can contact Meta Platforms, Inc., either online or by mail at their Menlo Park address, if they have questions about the privacy policy. (Part 3)"
RC_f3,Responsiveness and Communication,"Does the company publish transparency reports detailing government data requests, surveillance, or law enforcement interactions?",Not mentioned explicitly in policy. Reference :N/A
RC_u1,Responsiveness and Communication,Has there ever been a security breach?,Not mentioned explicitly in policy. Reference :N/A
AEE_f1,"Accessibility, User Education and Empowerment",Are employees trained on data privacy best practices and handling sensitive information?,Not mentioned explicitly in policy. Reference :N/A
AEE_f2,"Accessibility, User Education and Empowerment",How are user data privacy preferences managed across different devices or platforms?,Not mentioned explicitly in policy. Reference :N/A
AEE_f3,"Accessibility, User Education and Empowerment","Does the company offer user-friendly resources, such as tutorials or guides, to help users effectively manage their privacy settings and understand their data rights?",Not mentioned explicitly in policy. Reference :N/A
AEE_u1,"Accessibility, User Education and Empowerment",Does it share any data with a third party?,"Yes, data is shared with third-party partners. These partners assist in the improvement of the Products or use Meta Business Tools to grow their businesses. This collaboration enables the operation of the companies and the provision of free services to people globally. Reference: Part 3"
CA_f1,Compliance and Accountability,Does the policy comply with applicable privacy laws and regulations?,"They aim is to comply with applicable privacy laws and regulations. However, there is no specific statement confirming compliance with all applicable privacy laws and regulations. (Part 3)"
CA_f2,Compliance and Accountability,What steps are taken to ensure data processors and subprocessors adhere to privacy requirements?,"Facebook shares data with vendors and service providers who support their business in various ways. While it doesn't explicitly state the steps taken to ensure these parties adhere to privacy requirements, it implies a relationship where such requirements could be enforced. (Part 3)"
CA_f3,Compliance and Accountability,"Does the company have a process in place for reporting and addressing privacy violations or non-compliance issues, both internally and with third-party vendors?",Not mentioned explicitly in policy. Reference :N/A
CA_u1,Compliance and Accountability,Do I have any rights as far as whether I want my account info deleted?,"Yes, you have the right to request the deletion of your account information. Here's how it works:

Data Erasure: You can erase your data through your Facebook and Instagram settings. This includes the ability to access and delete specific items like search queries.
Data Storage Policy: Data is stored until it is no longer necessary to provide services or until your account is deleted.
Search Query Logs: Logs of your search queries are deleted after 6 months.
Government-Issued IDs: Copies of government-issued IDs submitted for verification are deleted after 30 days.
Account Deletion: Deleting your account leads to the removal of the content you have posted, such as photos and status updates. However, this information cannot be recovered once deleted.
Content Shared by Others: Information about you that others have shared is not part of your account and won't be deleted upon account deletion.
Account Deactivation: If you prefer not to delete your account permanently, you have the option to deactivate it temporarily. Part 3"
